Portfolio,Return (%),Volatility (%),Sharpe,Active Stocks,HHI,Effective N
1/N Benchmark (Historical μ),3.965642157029634,20.094399767989238,-0.0017098218094127185,8,0.125,8.0
1/N Benchmark (MA5 μ),4.2375,20.094399767989238,0.011819213449626973,8,0.125,8.0
1/N Benchmark (MLR μ),-3.0655308455160317,20.094399767989238,-0.351616914518221,8,0.125,8.0
Optimal-Historical (dense),20.939678203162167,24.69515538196511,0.6859514727140865,2,0.7708621485428205,1.2972488036808194
Optimal-MA5 (dense),12.999491749655903,23.616241691799917,0.38107213955134633,3,0.37615653481487027,2.658467705451831
Optimal-MLR (dense),34.808298923788165,22.32839337266767,1.3797812681632888,3,0.5571378168884167,1.7948880325247776
Optimal-Historical (sparse),20.939678203162163,24.695155381965094,0.6859514727140867,2,0.77086214854282,1.2972488036808203
Optimal-MA5 (sparse),12.999491749655908,23.61624169179992,0.38107213955134656,3,0.37615653481487055,2.6584677054518293
Optimal-MLR (sparse),34.80829892378849,22.328393372667705,1.379781268163301,3,0.5571378168884221,1.79488803252476
